,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,רבין ק. בילינסון,רבין ק. השרון,סוראסקי,סורוקה,וולפסון,מאיר,שיבא,"רמב""ם",הדסה,הכרמל,שערי צדק,קפלן,שמיר,אסותא אשדוד,בני ציון,המרכזי בעמק,הלל יפה,יוספטל,לניאדו,מ.ר. צפון (פוריה),זיו צפת,ברזילי,מעייני הישועה,נצרת,נהריה
1,סורוקה,בני ציון,קפלן,מאיר,שיבא,הלל יפה,וולפסון,שמיר,מעייני הישועה,"רמב""ם",רבין ק. השרון,הכרמל,המרכזי בעמק,לניאדו,הדסה,שערי צדק,סוראסקי,יוספטל,זיו צפת,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),אסותא אשדוד,רבין ק. בילינסון
2,מאיר,רבין ק. בילינסון,שמיר,קפלן,שיבא,"רמב""ם",רבין ק. השרון,וולפסון,הלל יפה,סוראסקי,אסותא אשדוד,הכרמל,בני ציון,מעייני הישועה,שערי צדק,סורוקה,המרכזי בעמק,יוספטל,הדסה,לניאדו,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת
3,שערי צדק,מאיר,לניאדו,סוראסקי,"רמב""ם",רבין ק. בילינסון,רבין ק. השרון,קפלן,בני ציון,סורוקה,שיבא,הדסה,אסותא אשדוד,הכרמל,הלל יפה,המרכזי בעמק,מעייני הישועה,יוספטל,נצרת,מ.ר. צפון (פוריה),זיו צפת,ברזילי,נהריה,שמיר,וולפסון
4,סוראסקי,שיבא,רבין ק. בילינסון,מאיר,סורוקה,הכרמל,הלל יפה,"רמב""ם",שמיר,אסותא אשדוד,שערי צדק,בני ציון,הדסה,נהריה,מעייני הישועה,המרכזי בעמק,יוספטל,קפלן,ברזילי,לניאדו,נצרת,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון,וולפסון
5,מאיר,"רמב""ם",בני ציון,יוספטל,רבין ק. בילינסון,וולפסון,אסותא אשדוד,רבין ק. השרון,שיבא,מעייני הישועה,קפלן,שמיר,הלל יפה,סורוקה,המרכזי בעמק,שערי צדק,לניאדו,הכרמל,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,הדסה,סוראסקי
6,שערי צדק,סוראסקי,שיבא,וולפסון,מאיר,אסותא אשדוד,הכרמל,הדסה,קפלן,רבין ק. השרון,המרכזי בעמק,הלל יפה,שמיר,בני ציון,סורוקה,מעייני הישועה,יוספטל,לניאדו,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם",רבין ק. בילינסון
7,סוראסקי,רבין ק. השרון,רבין ק. בילינסון,וולפסון,שיבא,שמיר,אסותא אשדוד,הכרמל,מאיר,הדסה,הלל יפה,קפלן,בני ציון,ברזילי,מעייני הישועה,יוספטל,"רמב""ם",שערי צדק,המרכזי בעמק,לניאדו,נצרת,מ.ר. צפון (פוריה),נהריה,סורוקה,זיו צפת
8,רבין ק. בילינסון,שערי צדק,שמיר,וולפסון,סוראסקי,שיבא,אסותא אשדוד,הלל יפה,סורוקה,מעייני הישועה,הכרמל,קפלן,בני ציון,רבין ק. השרון,הדסה,המרכזי בעמק,נהריה,יוספטל,נצרת,לניאדו,ברזילי,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם",מאיר
9,רבין ק. בילינסון,בני ציון,סורוקה,הדסה,סוראסקי,שיבא,רבין ק. השרון,וולפסון,הלל יפה,לניאדו,מעייני הישועה,שערי צדק,המרכזי בעמק,קפלן,"רמב""ם",יוספטל,הכרמל,אסותא אשדוד,ברזילי,נצרת,נהריה,זיו צפת,מ.ר. צפון (פוריה),שמיר,מאיר
